BMW X5,$ 125 000                                                                                                                                                                                                                                                                                                                                  10 977 500 сом,2022г.3л.автоматвнедорожник5дв.гибридрульслева11км,https://im.mashina.kg/tachka/images//b/6/6/b66381e8ec9f86db62540edb16e960b6_240x180.jpg
Toyota Camry (Japan),$ 12 500                                                                                                                                                                                                                                                                                                                                  1 097 750 сом,2004г.2.4л.автоматседанбензинрульсправа100720км,https://im.mashina.kg/tachka/images//5/8/7/587ce43e1078f320b58605f2caca8318_240x180.jpg
Toyota RAV4,$ 23 500                                                                                                                                                                                                                                                                                                                                  2 063 770 сом,2016г.2.5л.вариаторвнедорожник5дв.гибридрульслева120000км,https://im.mashina.kg/tachka/images//9/b/1/9b1bff26a976654ddef5effb8cdca737_240x180.jpg
Hyundai Sonata,$ 17 500                                                                                                                                                                                                                                                                                                                                  1 536 850 сом,2018г.2л.автоматседангазрульслева146000км,https://im.mashina.kg/tachka/images//d/7/a/d7a5b7a8d76f23055677bdb5272daeee_240x180.jpg
Toyota RAV4,$ 38 500                                                                                                                                                                                                                                                                                                                                  3 381 070 сом,2019г.2.5л.вариаторвнедорожник5дв.гибридрульслева20236км,https://im.mashina.kg/tachka/images//8/2/f/82fa8e64b96369a9c264aa80b2a7ff99_240x180.jpg
Hyundai Santa Fe,$ 19 500                                                                                                                                                                                                                                                                                                                                  1 712 490 сом,2017г.2.4л.автоматвнедорожник5дв.бензинрульслева37609км,https://im.mashina.kg/tachka/images//d/c/4/dc43fd5a8280c9e4f29c0073ba637a57_240x180.jpg
Chevrolet Cruze,$ 12 800                                                                                                                                                                                                                                                                                                                                  1 124 096 сом,2017г.1.4л.автоматседанбензинрульслева100000км,https://im.mashina.kg/tachka/images//d/c/9/dc9127625657ebb8a4548fcf158ba54a_240x180.jpg
BMW i4,$ 96 789                                                                                                                                                                                                                                                                                                                                  8 500 000 сом,2023г.автоматлифтбекэлектрорульслева   новый,https://im.mashina.kg/tachka/images//3/2/3/323567421eef277b6b3cdb6dc0241c03_240x180.jpg
Toyota Camry,$ 21 000                                                                                                                                                                                                                                                                                                                                  1 844 220 сом,2019г.2.5л.автоматседанбензинрульслева65000км,https://im.mashina.kg/tachka/images//0/b/6/0b63a0b48ec51c02db8cab0f2aa9baed_240x180.jpg
Toyota RAV4,$ 24 500                                                                                                                                                                                                                                                                                                                                  2 151 590 сом,2017г.2.5л.автоматвнедорожник5дв.бензинрульслева85000км,https://im.mashina.kg/tachka/images//f/2/d/f2d6f8f09b7f1e600dafc7a10f5cddcb_240x180.jpg
